image_index,contrast_0
0,2362.4295302013425
1,3083.9597315436245
2,3089.778523489933
3,2627.184563758389
4,1716.543624161074
5,2592.271812080537
6,1064.8389261744965
7,2400.2516778523486
8,1553.6174496644294
9,2737.741610738255
10,1821.2818791946308
11,2705.738255033557
12,22131.77516778524
13,22131.77516778524
14,22131.77516778524
15,3014.1342281879192
16,1870.741610738255
17,2967.583892617449
18,0.0
19,14325.86577181208
20,14325.86577181208
21,9295.520134228189
22,9915.221476510069
23,0.0
24,2955.9463087248323
25,2269.3288590604025
26,2246.053691275168
27,0.0
28,3345.8053691275168
29,2827.93288590604
30,4756.862416107382
31,4561.932885906041
32,5423.114093959732
33,4399.006711409395
34,4399.006711409395
35,3982.963087248322
36,1937.6577181208052
37,0.0
38,1990.026845637584
39,2746.469798657718
40,2772.654362416108
41,2490.442953020134
42,1515.7953020134228
43,0.0
44,471.32214765100673
45,3401.08389261745
46,2542.8120805369126
47,3299.255033557047
48,2644.640939597315
49,2749.3791946308725
50,0.0
51,2822.114093959732
52,0.0
53,2804.6577181208054
54,5862.432885906041
55,5632.5906040268455
56,5513.305369127516
57,0.0
58,3741.48322147651
59,4009.147651006712
60,2804.6577181208054
61,2793.0201342281875
62,2793.0201342281875
63,1937.6577181208052
64,0.0
65,2394.4328859060406
66,4192.439597315437
67,0.0
68,0.0
69,1541.9798657718122
70,1332.5033557046982
71,2246.053691275168
72,5181.63422818792
73,0.0
74,5810.063758389261
75,4480.469798657718
76,4480.469798657718
77,4506.654362416108
78,3776.3959731543614
79,2894.8489932885905
80,2900.6677852348994
81,1722.3624161073826
82,1722.3624161073826
83,2464.258389261745
84,1384.8724832214766
85,1379.0536912751677
86,1338.3221476510066
87,2022.030201342282
88,2022.030201342282
89,2254.781879194631
90,4186.620805369128
91,4192.439597315437
92,3002.496644295302
93,2391.523489932886
94,3147.9664429530203
95,2368.248322147651
96,16266.43288590604
97,16342.077181208051
98,14872.832214765102
99,2507.8993288590605
100,2513.718120805369
101,2112.221476510067
102,4212.805369127516
103,4759.771812080537
104,3511.640939597315
105,5030.345637583892
106,5522.03355704698
107,0.0
108,2793.0201342281875
109,2953.036912751678
110,1774.731543624161
111,3150.8758389261748
112,2269.3288590604025
113,3011.224832214765
114,5894.436241610738
115,5903.164429530201
116,6647.969798657719
117,0.0
118,314.2147651006711
119,855.3624161073825
120,1280.1342281879197
121,2167.5
122,2246.053691275168
123,7512.060402684564
124,9481.721476510069
125,9481.721476510069
126,2490.442953020134
127,2691.191275167785
128,2385.704697986577
129,0.0
130,948.4630872483222
131,0.0
132,2641.731543624161
133,2641.731543624161
134,3450.5436241610737
135,2403.161073825503
136,0.0
137,2397.3422818791946
138,3645.473154362416
139,3930.593959731544
140,3910.228187919463
141,2705.738255033557
142,1902.744966442953
143,0.0
144,4986.704697986577
145,4922.697986577181
146,0.0
147,0.0
148,0.0
149,2007.4832214765104
150,1221.946308724832
151,0.0
152,1972.5704697986575
153,1920.201342281879
154,1920.201342281879
155,2641.731543624161
156,6790.530201342282
157,7363.681208053691
158,7363.681208053691
159,3095.597315436242
160,3694.93288590604
161,3095.597315436242
162,3316.711409395973
163,3316.711409395973
164,3299.255033557047
