image_index,contrast_0,dissimilarity_0,homogeneity_0,energy_0,correlation_0,asm_0,entropy_0,contrast_45,dissimilarity_45,homogeneity_45,energy_45,correlation_45,asm_45,entropy_45,contrast_90,dissimilarity_90,homogeneity_90,energy_90,correlation_90,asm_90,entropy_90,contrast_135,dissimilarity_135,homogeneity_135,energy_135,correlation_135,asm_135,entropy_135
0,2362.4295302013425,9.264429530201342,0.963810822147651,0.9142645066038066,0.2837542671167741,0.9142645066038066,0.32746762659610695,1897.9415341651277,7.442907977118148,0.9709261407143822,0.9206938139638952,0.42735538085146635,0.9206938139638952,0.31006173732172637,1536.1610738255035,6.024161073825503,0.9764681208053692,0.926294427177955,0.5334845482849477,0.926294427177955,0.29186112873053094,2362.4295302013425,9.264429530201342,0.963810822147651,0.9142645066038066,0.2837542671167741,0.9142645066038066,0.32746762659610695
1,3083.9597315436245,12.093959731543626,0.9527579697986577,0.8819829577246271,0.3488758812478891,0.8819829577246271,0.42891908792663447,4589.6209630196845,17.99851358046935,0.9296933063262915,0.8612157214527063,0.03554538708367828,0.8612157214527063,0.4657193642842395,2429.3456375838923,9.526845637583893,0.9627857592281879,0.891237864160273,0.48679490144198767,0.891237864160273,0.40299318022708486,3083.9597315436245,12.093959731543626,0.9527579697986577,0.8819829577246271,0.3488758812478891,0.8819829577246271,0.42891908792663447
2,3089.778523489933,12.116778523489934,0.9526688338926175,0.8880445065037109,0.28756776836126985,0.8880445065037109,0.4084488339665837,4156.140489167155,16.298590153596685,0.936333632212513,0.8731668969982275,0.04606237502194744,0.8731668969982275,0.43378590622764185,1963.8422818791946,7.701342281879194,0.9699166317114094,0.9040558733590578,0.5469000673684464,0.9040558733590578,0.36289630915767723,3089.778523489933,12.116778523489934,0.9526688338926175,0.8880445065037109,0.28756776836126985,0.8880445065037109,0.4084488339665837
3,2627.1845637583892,10.30268456375839,0.9597551384228187,0.8969940733400397,0.3710237693368347,0.8969940733400397,0.3839660362233358,3954.044862844016,15.506058285662807,0.9394294598216296,0.8782797632096293,0.05884116253033901,0.8782797632096293,0.42079261185599326,2080.218120805369,8.15771812080537,0.9681339135906041,0.9047967569028422,0.501973466978676,0.9047967569028422,0.361024518375775,2627.1845637583892,10.30268456375839,0.9597551384228188,0.8969940733400397,0.37102376933683473,0.8969940733400397,0.3839660362233358
4,1716.543624161074,6.731543624161074,0.9737049077181209,0.9342399951954118,0.3410111502122766,0.9342399951954118,0.26405281822602195,2348.9955407414077,9.211747218593755,0.9640166124273681,0.9248586201452945,0.10409642419529098,0.9248586201452945,0.28562760983831015,1216.1275167785234,4.769127516778523,0.9813705956375839,0.9415886611714186,0.5331231538792063,0.9415886611714186,0.2404661041602223,1716.543624161074,6.731543624161074,0.9737049077181209,0.9342399951954118,0.3410111502122766,0.9342399951954118,0.26405281822602195
5,2592.271812080537,10.16577181208054,0.9602899538590604,0.8969867943886412,0.38418615271278933,0.8969867943886412,0.38428535517297646,4015.5522273771453,15.74726363677312,0.938487251418855,0.8769875616331385,0.050990342613262546,0.8769875616331385,0.4235820286424238,2088.946308724832,8.191946308724832,0.9680002097315435,0.9042117862558743,0.5034346443461611,0.9042117862558743,0.3628494120241069,2592.271812080537,10.16577181208054,0.9602899538590604,0.8969867943886412,0.38418615271278933,0.8969867943886412,0.38428535517297646
6,1064.8389261744965,4.175838926174496,0.983688129194631,0.9543640296483142,0.44541882908871494,0.9543640296483142,0.19553532081180425,1610.9071663438583,6.317283005270033,0.975323113260664,0.9461166351661431,0.16652787466672858,0.9461166351661431,0.21908947401014656,1169.5771812080536,4.586577181208053,0.9820836828859061,0.9528086402514402,0.39086986145809677,0.9528086402514402,0.20069259214375343,1064.8389261744965,4.175838926174496,0.983688129194631,0.9543640296483142,0.44541882908871494,0.9543640296483142,0.19553532081180425
7,2400.2516778523486,9.412751677852349,0.9632314387583892,0.9013845222187188,0.4146898978127451,0.9013845222187188,0.3712176379534465,3831.030133777758,15.023647583442187,0.941313876627179,0.8811227746686184,0.07119163006758027,0.8811227746686184,0.413980569090996,2289.6946308724832,8.979194630872485,0.9649250209731542,0.9029621168215645,0.4416496474450385,0.9029621168215645,0.3666182426580058,2400.2516778523486,9.412751677852349,0.9632314387583892,0.9013845222187188,0.41468989781274507,0.9013845222187188,0.37121763795344653
8,1553.6174496644294,6.092617449664429,0.9762007130872483,0.9383377005039812,0.37683147032142206,0.9383377005039812,0.25086646691018144,1476.1767487950992,5.788928426647448,0.9773869983334084,0.93922099393038,0.4117622071928661,0.93922099393038,0.24830367497753156,1448.8791946308725,5.681879194630872,0.9778051593959731,0.939874063730863,0.41884283187278687,0.939874063730863,0.2461439829932089,1553.6174496644294,6.092617449664429,0.9762007130872483,0.9383377005039812,0.37683147032142206,0.9383377005039812,0.25086646691018144
9,2737.741610738255,10.736241610738254,0.9580615562080537,0.8992854295852539,0.30275104631592836,0.8992854295852539,0.37485809246285373,3379.9761272014775,13.254808341966578,0.948223404914193,0.890072459404127,0.14295531087816185,0.890072459404127,0.39412300252373395,1812.5536912751677,7.108053691275167,0.9722341652684564,0.9126018827980722,0.5377371769271412,0.9126018827980722,0.3360933133790558,2737.741610738255,10.736241610738254,0.9580615562080537,0.8992854295852539,0.30275104631592836,0.8992854295852539,0.3748580924628537
