image_index,contrast_0
0,2462.281108199655
1,2350.0941526263623
2,2802.4141507259737
3,4421.910112359551
4,4687.63475988239
5,4687.63475988239
6,4189.89119090874
7,4155.182193193537
8,4085.969505621439
9,2961.736061971621
10,3059.1577981651376
11,3249.922022947532
12,10720.831660767068
13,11007.941394658754
14,10774.220557452903
15,4002.938906636993
16,0.0
17,3853.9025569402665
18,6364.19318727011
19,6364.19318727011
20,6105.882209347741
21,6610.383862047776
22,0.0
23,6391.122542821014
24,0.0
25,4300.346952370379
26,4114.888083524243
27,3058.4734891676167
28,2980.6393244873343
29,2946.6013824884794
30,3889.311664151076
31,0.0
32,3952.845282212087
33,4131.89663107511
34,4004.629657957536
35,50.23517382413088
36,3000.254668930391
37,2969.0094859547744
38,3000.254668930391
39,2923.8108937476027
40,2898.868431146912
41,2900.7228761514843
42,4651.281369453216
43,4732.409190300577
44,4718.740272373541
45,3888.490711223481
46,3649.6301666544314
47,3649.6301666544314
48,3095.7219670821805
49,2760.2211796246647
50,0.0
51,3085.097442662014
52,3232.494910078045
53,3085.097442662014
54,4648.519983972754
55,4887.270044269552
56,4640.493796526055
57,3209.587991476692
58,3157.21564513712
59,3096.518812112028
60,3509.4768945805254
61,3356.1290322580644
62,3452.248507414778
63,3794.72699556541
64,3749.482306486617
65,3749.482306486617
66,0.0
67,3490.8944926846675
68,3490.8944926846675
69,3173.737089384173
70,3138.8239527013884
71,0.0
72,3734.5205114544488
73,3972.419840352622
74,4045.511116481393
75,2502.351733869244
76,0.0
77,2502.351733869244
78,3455.13009741492
79,3455.13009741492
80,3455.13009741492
81,3368.279264972777
82,3493.7780628608084
83,2994.0207084882045
84,1668.3187946074545
85,0.0
86,1917.5519907785408
87,3035.278276481149
88,3054.5263649090057
89,2976.442870522126
90,3378.0110642781874
91,272.85818736688174
92,3426.579308162835
93,2298.927501847458
94,2298.927501847458
95,2298.927501847458
96,5111.527488275144
97,5111.527488275144
98,5085.261878188776
99,2967.017573815278
100,2800.0796485187943
101,3105.430530961757
102,3657.337363578001
103,0.0
104,0.0
105,118.5635621034206
106,6090.596137699413
107,6090.596137699413
108,3314.448051948052
109,2845.4665418014647
110,3328.2572772340154
111,4065.5078597339775
112,0.0
113,3799.883528980191
114,4576.149025069638
115,4427.703183110916
116,4550.266217537759
117,2564.9447271451136
118,2202.232174095585
119,0.0
120,3346.063691251332
121,3214.2794341760773
122,3332.3026239741066
123,6433.651935099195
124,6735.260994876174
125,6735.260994876174
126,3549.575468260331
127,3701.877976297039
128,3618.619571093891
129,2537.7945508100147
130,2537.7945508100147
131,2587.01825249795
132,2125.6563706563707
133,2063.5266998529246
134,1969.681536694034
135,4251.983842010772
136,4280.179119958511
137,3968.234953241148
138,6521.706879957519
139,6183.616830796777
140,6593.318804886743
141,0.0
142,0.0
143,0.0
144,4435.702433628318
145,4548.275290215589
146,0.0
147,7629.084324635457
148,7313.340818199698
149,7459.863026912319
150,3875.454241444655
151,3832.8087301881887
152,3869.6464964612583
153,3303.763877840418
154,0.0
155,2801.0073068893525
156,3664.147024729521
157,54.31136803235449
158,3934.064858378856
159,3980.438583575661
160,3980.438583575661
161,3980.438583575661
162,2965.1541281912005
163,3047.246884418017
164,2997.023955023222
165,4573.731215693332
166,4461.99973842532
167,4682.386262530399
168,4266.033580349277
169,4148.601598173516
170,4384.741433511474
171,4392.072123640526
172,4337.036167214655
173,4500.10559566787
174,4134.211929356881
175,3981.4743908503233
176,3916.080682857433
177,4557.130130253134
178,4169.6116685247125
179,4365.968121567494
180,3587.570417576227
181,0.0
182,3880.720256781066
183,2241.010263124552
184,2668.1990881458964
185,2642.378048780488
186,4469.643727161998
187,4727.897658457812
188,4496.957360406092
189,2100.8502196400736
190,2064.995835747393
191,1701.3245153107446
192,5880.969017798287
193,6161.959358995539
194,5868.465496767383
195,3212.372566303848
196,3097.1480018587363
197,2694.9679386925245
198,1709.2848133198788
