image_index,contrast_0,entropy_0
0,541.4554066432049,7.545928261130165
1,348.2873685883608,7.469608721623162
2,562.0722149654787,7.603217107302832
3,909.1460160360812,6.205307109184061
4,907.0858301740654,6.275374739237144
5,769.5755537259786,6.014254217454218
6,471.0674776824786,5.809049288717626
7,698.4164230909755,5.821907794385435
8,662.088918139936,5.962282230446755
9,41.60903918454332,2.6694347526166515
10,361.0306853899555,7.720002043148091
11,361.0306853899555,7.720002043148091
12,1284.5596904693666,8.336461780322761
13,1758.8700183548176,8.548155795604268
14,1867.4877010307105,8.598249066954653
15,1.863176509294292,1.6521046259994103
16,455.546515273672,7.298991994551404
17,539.3837685488533,6.966665777896322
18,12.763320543161088,5.053810505012698
19,841.3128407026044,7.630080240465441
20,791.0973462895987,7.511354411466244
21,1553.846566122398,7.959865906874533
22,1553.846566122398,7.959865906874533
23,1553.846566122398,7.959865906874533
24,350.32935372693896,7.391022584617472
25,529.224131978694,7.722982013273967
26,604.6014693484283,7.830883294998012
27,471.4760558241357,7.74780614839553
28,0.0,-0.0
29,462.5253626493933,7.596083015553386
30,340.879306431846,7.550617497785371
31,340.879306431846,7.550617497785371
32,492.79560210416565,7.49608305153653
33,611.7066210768485,7.42277110709905
34,646.2178051746552,7.40119568355812
35,665.3803382177721,7.434593936200542
36,410.1326801727001,7.91472592891319
37,361.0333125222975,8.172656579565032
38,543.631359347589,8.203394162365855
39,697.0493177662117,5.3156867214083015
40,525.9263741667577,5.198217447442263
41,754.6586439204607,5.466404916049388
42,430.9867037861916,6.724238192354194
43,425.2532818193792,6.737165841281973
44,566.3319770275712,6.852611849479455
45,400.6750991507764,7.346500569944668
46,0.0,1.584962500721156
47,497.3014874531623,7.021266039160529
48,698.1701620074173,6.310244038719525
49,31.048965775127435,2.5615331896623523
50,654.2167710585561,6.178771787741501
51,111.08239216699148,2.2202804593704144
52,570.9878048780488,4.243907826806527
53,570.5799503088601,4.154528139458222
54,3.2533099950630584,5.075595734107447
55,372.61072763547145,7.648660440322328
56,294.6414732103451,7.774133560339877
57,377.4260945784162,7.659088970950469
58,444.1984543698147,7.47003861334036
59,359.18536017086274,7.57106988476567
60,463.3169993059792,7.027229296673421
61,379.2995131891769,6.917926541094271
62,706.1949857744883,7.074711348551859
63,419.5443439566552,7.286729850832213
64,477.80801050558114,7.2689328850309955
65,520.8842133901647,6.922805042805022
66,333.3851185993976,8.567783635302153
67,333.3851185993976,8.567783635302153
68,333.3851185993976,8.567783635302153
69,213.37416220592863,7.601508995833273
70,194.63519154067345,7.503089089922994
71,219.99746371068187,7.553670283881614
72,849.8772846475688,7.471709485587333
73,968.7436177671464,7.518275104721455
74,849.8772846475688,7.471709485587333
75,1108.0190192096131,7.186221853244098
76,858.3008586753838,6.91322839435629
77,985.4712415270142,7.140736623085419
78,327.18998703744467,7.732959247640391
79,226.4041551939925,7.615577613473586
80,0.0,-0.0
81,0.006530576939711,0.259140251721481
82,457.40956437201976,7.530916545062706
83,298.41632883127016,7.2626222023703
84,306.1219353105936,6.195998562100306
85,444.4286954805605,6.309080862113444
86,298.37011116563895,6.120888281401568
87,270.8580165097082,6.358508193233041
88,463.7164705332961,6.46571280580275
89,0.0,-0.0
90,30.028183635804364,4.115368067749512
91,1079.2783665771508,7.186402189755748
92,1065.4984719449085,7.019360612913408
93,44.29364577499141,2.8331652727993344
94,542.9136736958935,7.0339847408794665
95,592.7034031296238,7.037016227867754
96,850.8697618502404,7.481303390004032
97,737.628782784129,7.505974423684558
98,733.3798015334315,7.460074961875163
99,7.471232534410595,1.985321622678546
100,500.1737932186404,6.1985277065034445
101,261.7737561849846,6.373347612733584
102,331.82030920746183,7.005301905587805
103,332.82930116897904,6.934812474686401
104,263.8423339540658,6.858304970110844
105,683.8711774298032,8.009490341716788
106,654.0272703605675,8.036935718224374
107,13.16023177322122,3.3024335850307023
108,488.383049110055,8.031072521028769
109,340.9411609788216,8.314942556612964
110,510.1085025534284,7.68527013809779
111,0.0,-0.0
112,426.8505610145481,8.405810839737489
113,428.1525740138805,8.536215148197671
114,585.8365528080052,7.218993975911202
115,581.9836171498844,7.005382500266561
116,547.8410654119898,7.175593780964239
117,223.08688022088583,7.530811000330948
118,174.4002803907381,7.645777108717324
119,501.0731060974424,7.286477391796664
120,279.41393123159537,6.7425166513918215
121,279.41393123159537,6.7425166513918215
122,279.41393123159537,6.742516651391821
123,928.6138786963091,7.826759007309395
124,1171.694411414982,7.977598771005733
125,821.7041279302522,7.719715961574366
126,190.84547870558544,7.54474819152515
127,190.84547870558544,7.54474819152515
128,18.58168321963964,3.0601696704953065
129,10.223114340971694,3.2695421916327057
130,233.81486998076088,6.94181149909843
131,254.12365443003037,6.833488150490204
132,86.63613424652335,5.491791811111636
133,128.96110136526582,5.595308155432035
134,99.9383952795644,5.522114324948007
135,906.4983737504184,6.350557383639057
136,790.0199787879536,6.218359270734573
137,706.2892595978062,6.3663291291880055
138,1184.112292955498,7.032821269230121
139,981.7575187581388,7.219365761067918
140,1100.134506651315,7.196760994416934
141,528.3410238095239,8.087396130659059
142,604.5010310212775,8.329970343225478
143,511.631062464616,8.355675580419547
144,440.4967036896328,8.068072928447386
145,511.6507630201401,8.097245379200432
146,511.6507630201401,8.097245379200432
147,394.3439442138749,7.731257118798823
148,361.0525356626658,7.726203903497905
149,452.3506365043866,7.748595171778357
150,447.0888254873989,6.920309687792114
151,37.26643768400392,1.158467268016958
152,432.712454799286,7.1032092544473375
153,0.0,-0.0
154,374.1367253928304,8.115825181262803
155,395.73310703779134,8.10244607591309
156,456.2226892751971,6.482361221885167
157,780.1617879746835,7.106525246253792
158,712.0263446521014,7.151182332921321
159,355.8402352254618,7.7785888043000195
160,397.52412634256,7.584852251611315
161,434.42167355602726,7.705290068538618
162,393.0140151363472,7.521082517347696
163,157.30908501221003,7.844840180695911
164,353.6496442198618,7.4435269039932415
165,479.7193385206102,8.36521000501482
166,361.89623553075273,8.464406037230493
167,457.8640613616125,8.463811927370699
168,972.8912508435552,7.803379509580582
169,0.0,-0.0
170,724.8639951930049,7.826222548863515
171,635.4756419982987,8.329989142734233
172,672.787341772152,8.056637248302845
173,639.2510211927531,7.897677029930486
174,516.4446177049515,8.115280937487622
175,306.807429107101,8.447248851336639
176,479.21136402532943,8.437052063266137
177,1022.0152156822963,7.343402719458354
178,1100.7312393474556,7.439463636790319
179,0.0,-0.0
180,456.4183000464468,8.023959131231782
181,315.4580684294476,8.014935766782358
182,315.4580684294476,8.014935766782358
