image_index,contrast_0,dissimilarity_0,homogeneity_0,energy_0,correlation_0,asm_0,entropy_0,contrast_45,dissimilarity_45,homogeneity_45,energy_45,correlation_45,asm_45,entropy_45,contrast_90,dissimilarity_90,homogeneity_90,energy_90,correlation_90,asm_90,entropy_90,contrast_135,dissimilarity_135,homogeneity_135,energy_135,correlation_135,asm_135,entropy_135
1100,697.031291201547,12.101784301661246,0.4958306726114542,0.10343050258401965,0.9582444265728947,0.10343050258401965,8.111550345292294,1567.4477849134646,18.403875040818548,0.4602344783262713,0.09653751961070495,0.9060490024272524,0.09653751961070495,8.412027603001157,896.9946302546794,13.20328321571034,0.5068265107773631,0.10207377061847901,0.946204203706524,0.10207377061847901,8.12766234215553,697.0312912015471,12.101784301661246,0.49583067261145414,0.10343050258401966,0.9582444265728945,0.10343050258401966,8.111550345292297
1101,170.64566454896934,5.562491500067999,0.6732104274951443,0.17648805368645804,0.988590285787733,0.17648805368645804,5.581491526665612,432.90233508464684,7.941058571706558,0.6291731398134239,0.17426479991666577,0.9714322992958202,0.17426479991666577,5.825424506470945,278.7807152153222,4.659466599327907,0.7397811319925764,0.1772314574348738,0.9818662003743429,0.1772314574348738,5.362012641253739,170.64566454896934,5.562491500068,0.6732104274951443,0.176488053686458,0.9885902857877333,0.176488053686458,5.581491526665613
1102,335.46970775497294,7.335963143117017,0.6446663885187969,0.17751761015401454,0.977219981050453,0.17751761015401454,5.619849493242651,703.2736341010549,10.149034093153716,0.6083268950212679,0.1744277928409633,0.9518005510556359,0.1744277928409633,5.853159968455531,384.2159171878711,5.670117172037052,0.7162978621824354,0.17867124399173706,0.9743303373107473,0.17867124399173706,5.352469815282797,335.4697077549729,7.3359631431170165,0.6446663885187969,0.17751761015401457,0.977219981050453,0.17751761015401457,5.619849493242652
1103,240.62118195138444,6.81718450614269,0.6445641986191123,0.17814358634887453,0.9846354035528047,0.17814358634887453,5.581629876976587,313.29329840563867,7.815668463307075,0.6251122161802333,0.1766883968194749,0.9799065068350953,0.1766883968194749,5.691586432338784,135.34366398974475,4.3999547562492936,0.7207216592569206,0.1803495180243976,0.9914007819899606,0.1803495180243976,5.249125649352828,240.62118195138447,6.8171845061426914,0.6445641986191123,0.17814358634887453,0.9846354035528045,0.17814358634887453,5.581629876976587
1104,580.7901410719628,10.305893724253792,0.6232138255168225,0.13028331969792128,0.9623081597139126,0.13028331969792128,5.427057221784596,1255.9926903273263,16.598427730783378,0.5458805239862834,0.12408238411679703,0.9180139427965293,0.12408238411679703,5.830011442189813,698.1149605211666,10.661172624939573,0.6419077568204901,0.1305892334279636,0.9547065125267509,0.1305892334279636,5.437176479466654,580.7901410719628,10.305893724253792,0.6232138255168225,0.13028331969792128,0.9623081597139127,0.13028331969792128,5.427057221784596
1105,551.6120784902992,10.197706280107836,0.6314900724517454,0.11797051215143516,0.9664578210002225,0.11797051215143516,5.320953980038904,1098.896101593493,16.42979987145675,0.5384739636436912,0.1122365558770785,0.9326580707724482,0.1122365558770785,5.722583494953825,587.5670760039827,10.661444850094039,0.6370013672286591,0.11794915178747316,0.9642151216403859,0.11794915178747316,5.35942568268036,551.6120784902992,10.197706280107838,0.6314900724517454,0.11797051215143514,0.9664578210002226,0.11797051215143514,5.320953980038903
1106,551.6120784902992,10.197706280107836,0.6314900724517454,0.11797051215143516,0.9664578210002225,0.11797051215143516,5.320953980038904,1098.896101593493,16.42979987145675,0.5384739636436912,0.1122365558770785,0.9326580707724482,0.1122365558770785,5.722583494953825,587.5670760039827,10.661444850094039,0.6370013672286591,0.11794915178747316,0.9642151216403859,0.11794915178747316,5.35942568268036,551.6120784902992,10.197706280107838,0.6314900724517454,0.11797051215143514,0.9664578210002226,0.11797051215143514,5.320953980038903
1107,655.6536250573758,9.444187012305743,0.6958577897215128,0.1308349738572341,0.9594157811019675,0.1308349738572341,4.936853512833065,966.6986781823364,13.560029812139678,0.6081097682639145,0.1251809865517116,0.9397659106843268,0.1251809865517116,5.2498098183668205,482.4188597937691,8.797330870874832,0.6947478668662006,0.13237285330192172,0.970037160458817,0.13237285330192172,4.898667553943475,655.6536250573758,9.444187012305742,0.6958577897215129,0.13083497385723414,0.9594157811019676,0.13083497385723414,4.936853512833066
1108,654.3588159473754,9.18045246455398,0.6951219825208498,0.12096707732842016,0.9597703688995924,0.12096707732842016,5.086781142851158,850.8915083798884,12.382234636871507,0.620744079675536,0.11680750238756593,0.9474957436448771,0.11680750238756593,5.367131538077809,398.31226899039,7.7143433166819735,0.7166031131635584,0.12372133531587111,0.9754837677796793,0.12372133531587111,4.979161035150854,654.3588159473754,9.180452464553978,0.6951219825208498,0.12096707732842014,0.9597703688995927,0.12096707732842014,5.086781142851159
1109,553.5507820999444,8.5553997534028,0.7069439421805812,0.15010072118458648,0.9561874455759161,0.15010072118458648,4.931058857315544,884.8797521756949,12.145825799763749,0.6321417611301106,0.14403563199000438,0.930982052793899,0.14403563199000438,5.2092280602401395,428.7819775937652,7.0548465660009745,0.733285159695395,0.1533197269437358,0.966442818920812,0.1533197269437358,4.803975092350316,553.5507820999444,8.555399753402801,0.7069439421805811,0.15010072118458648,0.956187445575916,0.15010072118458648,4.931058857315545
1110,388.5049997863339,9.205739070979872,0.5274267369378163,0.1091365636636788,0.9769359393823152,0.1091365636636788,7.519358982821439,523.2979838103622,10.6890473020849,0.5112842039240709,0.10789116564892484,0.9689825507906029,0.10789116564892484,7.663949012959238,194.4764357289085,6.126387242754014,0.5906066047983596,0.11380391049551886,0.9884949532649892,0.11380391049551886,7.150504885258301,388.50499978633394,9.205739070979872,0.5274267369378162,0.1091365636636788,0.9769359393823147,0.1091365636636788,7.519358982821439
1111,389.8485729556387,9.181464457509355,0.5319335635748896,0.11036570685197367,0.976841951044948,0.11036570685197367,7.476773385774627,610.8170365283084,12.084753401725544,0.4956447220489128,0.1075073819087189,0.963798255537511,0.1075073819087189,7.728353589108707,215.98637784243994,6.46811078780041,0.5851714838398259,0.11474023279555186,0.9872130533395554,0.11474023279555186,7.1529802372256865,389.8485729556387,9.181464457509353,0.5319335635748895,0.11036570685197368,0.976841951044948,0.11036570685197368,7.476773385774628
