image_index,contrast_0,entropy_0
0,106.17870246085012,9.288677376964388
1,234.3048769574944,8.939482274890851
2,0.0,-0.0
3,144.17615212527963,10.12706833191552
4,0.0306040268456375,2.980842280415756
5,33.911319910514536,9.728774514571526
6,134.8758389261745,9.995426295629612
7,79.67659955257271,9.722214554359374
8,31.975212527964207,9.786754973281376
9,173.00008948545863,10.269253590823212
10,173.00008948545863,10.269253590823212
11,315.2954362416108,9.674917769653767
12,1043.2091275167784,12.731368991152792
13,1697.6511856823267,12.905337409437212
14,1697.6511856823265,12.90533740943721
15,77.1304250559284,10.935222218818565
16,115.2454138702461,11.115474702285116
17,0.0,-0.0
18,567.5412975391499,13.014407539789454
19,0.1198657718120805,5.686858911584359
20,567.5412975391498,13.014407539789454
21,1514.964205816555,13.181512061675097
22,1558.2105592841165,13.152066236823972
23,1531.600268456376,13.042557214780606
24,288.9674720357942,8.459103316105079
25,360.7050111856824,8.20585273730077
26,98.16653243847875,8.47028976812987
27,487.79181208053694,10.123104103130505
28,0.0,-0.0
29,0.0354809843400447,3.2520938245673
30,0.0861297539149888,3.917333612432324
31,207.3060402684564,11.99293615992153
32,207.3060402684564,11.99293615992153
33,163.8811185682327,11.589123106190051
34,240.8357941834452,11.77869627847201
35,222.43109619686803,11.61361411000757
36,306.03167785234893,8.791621371757374
37,106.39485458612978,8.91953324665569
38,82.07633109619687,8.71242766036555
39,167.3225503355705,10.2184233860531
40,142.76612975391498,10.236717002815263
41,142.76612975391498,10.236717002815263
42,37.85306487695749,10.414705867688973
43,0.0,-0.0
44,126.14577181208055,10.571046615061205
45,152.07673378076063,8.903164592440437
46,108.21297539149889,8.80716665604918
47,247.7084563758389,8.878925109255585
48,235.71225950782997,9.967649084867691
49,185.65051454138705,10.351080375766696
50,0.0519015659955257,3.436206373543925
51,350.5651901565995,8.558809487986391
52,355.7590604026846,8.571723823984632
53,267.535033557047,8.740756974107663
54,0.0066666666666666,2.693351308025999
55,211.13637583892617,12.029230409290683
56,183.24782997762864,12.021178807198924
57,222.53315436241613,11.657176948335124
58,300.3821029082774,11.881942266285018
59,307.77418344519015,11.661859290748554
60,117.98393736017898,11.479920152061768
61,87.23060402684564,11.334151553075534
62,0.576599552572707,5.694202992645382
63,188.95785234899327,10.455357727433416
64,106.84223713646531,10.462855540884854
65,195.84720357941836,11.131070899009693
66,214.6323489932886,10.943750933503544
